variable_name,source,original_name,N_nonmissing,pct_missing,is_numeric,mean,sd,label
c1360_f15b_proteinuria_high_24th_wk_to_labor,c1360,f15b_proteinuria_high_24th_wk_to_labor,57668,3.91,TRUE,0.2127,1.3316,F15b_Proteinuria high_24th wk to labor
c1360_f15c_proteinuria_high_intra_partum,c1360,f15c_proteinuria_high_intra_partum,57668,3.91,TRUE,0.2709,1.5166,F15c_Proteinuria high_Intra partum
c1360_blood_pressure_2,c1360,blood_pressure_2,57668,3.91,TRUE,0.2736,1.5279,Blood Pressure
c1360_f16a_edema_above_waist_up_to_24th_wk,c1360,f16a_edema_above_waist_up_to_24th_wk,57668,3.91,TRUE,0.1769,1.2167,F16a_Edema above waist_up to 24th wk
c1360_f16b_edema_above_waist_24th_wk_to_labor,c1360,f16b_edema_above_waist_24th_wk_to_labor,57668,3.91,TRUE,0.2586,1.3407,F16b_Edema above waist_24th wk to labor
c1360_f16c_edema_above_waist_intra_partum,c1360,f16c_edema_above_waist_intra_partum,57668,3.91,TRUE,0.2659,1.5162,F16c_Edema above waist_Intra partum
c1360_f16d_edema_above_waist_post_partum,c1360,f16d_edema_above_waist_post_partum,57668,3.91,TRUE,0.2674,1.5268,F16d_Edema above waist_post partum
c1360_f17a_weight_gain_up_to_24th_wk,c1360,f17a_weight_gain_up_to_24th_wk,57668,3.91,TRUE,0.303,1.2448,F17a_Weight gain_up to 24th wk
c1360_f17b_weight_gain_24th_wk_to_labor,c1360,f17b_weight_gain_24th_wk_to_labor,57668,3.91,TRUE,0.6906,1.3502,F17b_Weight gain_24th wk to labor
c1360_f17c_weight_gain_intra_partum,c1360,f17c_weight_gain_intra_partum,57668,3.91,TRUE,0.2643,1.5164,F17c_Weight gain_Intra partum
c1360_f17d_weight_gain_post_partum,c1360,f17d_weight_gain_post_partum,57668,3.91,TRUE,0.2679,1.5272,F17d_Weight gain_post partum
c1360_f18a_oliguria_up_to_24th_wk,c1360,f18a_oliguria_up_to_24th_wk,57668,3.91,TRUE,0.1673,1.2141,F18a_Oliguria_up to 24th wk
c1360_f18b_oliguria_24th_wk_to_labor,c1360,f18b_oliguria_24th_wk_to_labor,57668,3.91,TRUE,0.201,1.3285,F18b_Oliguria_24th wk to labor
c1360_f18c_oliguria_intra_partum,c1360,f18c_oliguria_intra_partum,57668,3.91,TRUE,0.2629,1.5154,F18c_Oliguria_Intra partum
c1360_f18d_oliguria_post_partum,c1360,f18d_oliguria_post_partum,57668,3.91,TRUE,0.267,1.5267,F18d_Oliguria_post partum
c1360_f19a_pulmonary_edema_up_to_24th_wk,c1360,f19a_pulmonary_edema_up_to_24th_wk,57668,3.91,TRUE,0.1672,1.2141,F19a_ Pulmonary edema_up to 24th wk
c1360_f19b_pulmonary_edema_24th_wk_to_labor,c1360,f19b_pulmonary_edema_24th_wk_to_labor,57668,3.91,TRUE,0.2008,1.3285,F19b_Pulmonary edema_ 24th wk to labor
c1360_f19c_pulmonary_edema_intra_partum,c1360,f19c_pulmonary_edema_intra_partum,57668,3.91,TRUE,0.2629,1.5154,F19c_Pulmonary edema_ Intra partum
c1360_f19d_pulmonary_edema_post_partum,c1360,f19d_pulmonary_edema_post_partum,57668,3.91,TRUE,0.267,1.5267,F19d_Pulmonary edema_ post partum
c1360_f20a_cyanosis_up_to_24th_wk,c1360,f20a_cyanosis_up_to_24th_wk,57668,3.91,TRUE,0.1671,1.214,F20a_Cyanosis_up to 24th wk
c1360_f20b_cyanosis_24th_wk_to_labor,c1360,f20b_cyanosis_24th_wk_to_labor,57668,3.91,TRUE,0.2008,1.3285,F20b_Cyanosis_24th wk to labor
c1360_f20c_cyanosis_intra_partum,c1360,f20c_cyanosis_intra_partum,57668,3.91,TRUE,0.2632,1.5154,F20c_Cyanosis_Intra partum
c1360_f20d_cyanosis_post_partum,c1360,f20d_cyanosis_post_partum,57668,3.91,TRUE,0.2671,1.5267,F20d_Cyanosis_post partum
c1360_f21a_convulsions_up_to_24th_wk,c1360,f21a_convulsions_up_to_24th_wk,57668,3.91,TRUE,0.1672,1.2141,F21a_Convulsions_up to 24th wk
c1360_f21b_convulsions_24th_wk_to_labor,c1360,f21b_convulsions_24th_wk_to_labor,57668,3.91,TRUE,0.201,1.3285,F21b_Convulsions_24th wk to labor
c1360_f21c_convulsions_intra_partum,c1360,f21c_convulsions_intra_partum,57668,3.91,TRUE,0.2629,1.5154,F21c_Convulsions_Intra partum
c1360_f21d_convulstions_post_partum,c1360,f21d_convulstions_post_partum,57668,3.91,TRUE,0.2673,1.5268,F21d_Convulstions_post partum
c1360_f22a_coma_up_to_24th_wk,c1360,f22a_coma_up_to_24th_wk,57668,3.91,TRUE,0.167,1.214,F22a_Coma_up to 24th wk
c1360_f22b_coma_24th_wk_to_labor,c1360,f22b_coma_24th_wk_to_labor,57668,3.91,TRUE,0.2007,1.3285,F22b_Coma_24th wk to labor
c1360_f22c_coma_intra_partum,c1360,f22c_coma_intra_partum,57668,3.91,TRUE,0.2629,1.5154,F22c_Coma_Intra partum
c1360_f22d_coma_post_partum,c1360,f22d_coma_post_partum,57668,3.91,TRUE,0.267,1.5267,F22d_Coma_post partum
c0315_f5a_lmp_month,c0315,f5a_lmp_month,57061,4.92,TRUE,6.6875,4.4958,F5a_LMP_Month
c0315_f5b_lmp_day,c0315,f5b_lmp_day,57061,4.92,TRUE,15.5292,9.2284,F5b_LMP_Day
c0315_f5c_lmp_year,c0315,f5c_lmp_year,57061,4.92,TRUE,61.8346,2.281,F5c_LMP_Year
c0315_f7_number_of_ob_12_forms,c0315,f7_number_of_ob_12_forms,57061,4.92,TRUE,0.0746,0.5849,F7_Number of OB-12 forms
c0315_f8_number_of_ob_47_forms,c0315,f8_number_of_ob_47_forms,57061,4.92,TRUE,0.1361,0.691,F8_Number of OB-47 forms
c0315_f9_no_drugs_taken,c0315,f9_no_drugs_taken,57061,4.92,TRUE,0.0596,0.2368,F9_No drugs taken
c0315_f10_xray_pelvimetry,c0315,f10_xray_pelvimetry,57061,4.92,TRUE,0.0321,0.1763,F10_Xray pelvimetry
c0315_f11a_drug,c0315,f11a_drug,60016,0,FALSE,"","",F11a_Drug
c0315_hospitalization,c0315,hospitalization,60016,0,FALSE,"","",Hospitalization
c0304_f5a_month_form_completed,c0304,f5a_month_form_completed,56798,5.36,TRUE,6.6437,5.8328,F5a_Month form completed
c0304_f5b_day_form_completed,c0304,f5b_day_form_completed,56798,5.36,TRUE,15.7918,9.7247,F5b_Day form completed
c0304_f5c_year_form_completed,c0304,f5c_year_form_completed,56798,5.36,TRUE,62.3791,2.6762,F5c_Year form completed
c0304_f6_age_at_onset,c0304,f6_age_at_onset,56798,5.36,TRUE,13.0037,5.4641,F6_Age at onset
c0304_f7a_duration_of_menses_lowest,c0304,f7a_duration_of_menses_lowest,56798,5.36,TRUE,4.6364,1.3165,F7a_Duration of menses_Lowest
c0304_f7b_duration_of_menses_highest,c0304,f7b_duration_of_menses_highest,56798,5.36,TRUE,4.9609,1.3175,F7b_Duration of menses_Highest
c0304_f8a_usual_interval_lowest,c0304,f8a_usual_interval_lowest,56798,5.36,TRUE,31.1102,14.0427,F8a_Usual interval_Lowest
c0304_f12b_lmp_first_day_day,c0304,f12b_lmp_first_day_day,56798,5.36,TRUE,18.1814,17.0068,F12b_LMP first day_Day
c0304_f12c_lmp_first_day_year,c0304,f12c_lmp_first_day_year,56798,5.36,TRUE,62.1449,3.7949,F12c_LMP first day_Year
c0304_f13a_pmp_first_day_month,c0304,f13a_pmp_first_day_month,56798,5.36,TRUE,12.0636,21.3503,F13a_PMP first day_Month
c0304_f13b_pmp_first_day_day,c0304,f13b_pmp_first_day_day,56798,5.36,TRUE,35.7576,36.4119,F13b_PMP first day_Day
c0304_gestation_at_delivery,c0304,gestation_at_delivery,56798,5.36,TRUE,613294.9812,314432.4632,Gestation at Delivery
c0304_f13c_pmp_first_day_year,c0304,f13c_pmp_first_day_year,56798,5.36,TRUE,63.6501,8.0023,F13c_PMP first day_Year
c0304_f14_type_of_entry_pmp,c0304,f14_type_of_entry_pmp,56798,5.36,TRUE,2.5342,3.8552,F14_Type of entry_PMP
c0304_f15_dysmenorrhea,c0304,f15_dysmenorrhea,56798,5.36,TRUE,0.9168,1.1305,F15_Dysmenorrhea
c0304_f16_trying_to_become_pregnant,c0304,f16_trying_to_become_pregnant,56798,5.36,TRUE,0.2571,0.9437,F16_Trying to become pregnant
c0304_f17_months_to_become_pregnant,c0304,f17_months_to_become_pregnant,56798,5.36,TRUE,3.1289,14.4607,F17_Months to become pregnant
c0304_f18_usual_contraceptive_use,c0304,f18_usual_contraceptive_use,56798,5.36,TRUE,0.4669,1.111,F18_Usual contraceptive use
c0304_f19_contraceptive_used_at_conception,c0304,f19_contraceptive_used_at_conception,56798,5.36,TRUE,0.3504,1.4271,F19_Contraceptive used at conception
c0304_f20a_contraception_diaphragm,c0304,f20a_contraception_diaphragm,56798,5.36,TRUE,1.4052,3.2251,F20a_Contraception_Diaphragm
c0304_f20b_contraception_condom,c0304,f20b_contraception_condom,56798,5.36,TRUE,1.4548,3.2125,F20b_Contraception_Condom
c0304_f20c_contraception_jelly,c0304,f20c_contraception_jelly,56798,5.36,TRUE,1.41,3.2253,F20c_Contraception_Jelly
c0304_f20d_contraception_vaginal_suppository,c0304,f20d_contraception_vaginal_suppository,56798,5.36,TRUE,1.4117,3.2246,F20d_Contraception_Vaginal suppository
c0304_f20e_contraception_coitus_interruptus,c0304,f20e_contraception_coitus_interruptus,56798,5.36,TRUE,1.377,3.2342,F20e_Contraception_Coitus interruptus
c0304_f20f_contraception_douche,c0304,f20f_contraception_douche,56798,5.36,TRUE,1.3858,3.2312,F20f_Contraception_Douche
c0304_f20g_contraception_rhythm,c0304,f20g_contraception_rhythm,56798,5.36,TRUE,1.3892,3.2299,F20g_Contraception_Rhythm
c0304_f20h_contraception_oral,c0304,f20h_contraception_oral,56798,5.36,TRUE,1.3811,3.2321,F20h_contraception_Oral
c0304_f20i_contraception_intrauterine_ring,c0304,f20i_contraception_intrauterine_ring,56798,5.36,TRUE,1.3723,3.2345,F20i_contraception_Intrauterine ring
c0304_f20j_contraception_other,c0304,f20j_contraception_other,56798,5.36,TRUE,1.3738,3.2349,F20j_contraception_Other
c0304_f21_sterility_investigation,c0304,f21_sterility_investigation,56798,5.36,TRUE,0.0753,0.6885,F21_Sterility investigation
c0344_conditions_and_findings_mother,c0344,conditions_and_findings_mother,56797,5.36,TRUE,736.0979,398.3815,"Conditions and findings, MOTHER, REGISTRATION, MEDICAL HISTORY"
c0344_placenta_special_studies,c0344,placenta_special_studies,56797,5.36,TRUE,7361628.6921,3983809.166,"Placenta, special studies, DELIVERY, EVENT"
c0344_registration_continued_mother,c0344,registration_continued_mother,60016,0,FALSE,"","","Registration, continued, MOTHER, REGISTRATION, MEDICAL HISTORY"
c0344_placenta,c0344,placenta,56797,5.36,TRUE,62401.7881,1908.7501,"Placenta, DELIVERY, EVENT"
c0344_placenta_weight,c0344,placenta_weight,56797,5.36,TRUE,13.643,14.5698,"Placenta weight, DELIVERY, EVENT"
c0344_amnion,c0344,amnion,56797,5.36,TRUE,250801.9452,316204.9177,"Amnion, DELIVERY, EVENT"
c0344_amnion_nodules,c0344,amnion_nodules,56797,5.36,TRUE,7294.6494,3583.4204,"Amnion nodules, DELIVERY, EVENT"
c0344_insertion_of_cord,c0344,insertion_of_cord,56797,5.36,TRUE,4275.2812,4522.5335,"Insertion of cord, DELIVERY, PROCEDURE"
c0344_number_of_vessels,c0344,number_of_vessels,56797,5.36,TRUE,4.2545,4.35,"Number of vessels, DELIVERY, EVENT"
c0344_cord,c0344,cord,56797,5.36,TRUE,45.9524,48.5914,"Cord, DELIVERY, EVENT"
c0344_placenta_infarctions,c0344,placenta_infarctions,56797,5.36,TRUE,5645315661953.32,17981275714199.9,"Placenta, infarctions, DELIVERY, EVENT"
c0344_intervillous_thrombosis,c0344,intervillous_thrombosis,56797,5.36,TRUE,59.961,46.9934,"Intervillous thrombosis, DELIVERY, PROCEDURE"
c0344_decidua,c0344,decidua,56797,5.36,TRUE,58.8422,44.5936,"Decidua, DELIVERY, EVENT"
c0344_villi,c0344,villi,31660,47.25,TRUE,9102.7183,2678.1306,"Villi, DELIVERY, EVENT"
c0303_f6_felt_sick,c0303,f6_felt_sick,56771,5.41,TRUE,6.0273,2.3202,F6_Felt sick
c0303_f7_headache,c0303,f7_headache,56771,5.41,TRUE,0.6149,0.6067,F7_Headache
c0303_f8_visual_disturbance,c0303,f8_visual_disturbance,56771,5.41,TRUE,0.1831,0.6125,F8_Visual disturbance
c0303_f9_weakness_numbness_dizziness,c0303,f9_weakness_numbness_dizziness,56771,5.41,TRUE,0.4744,0.6254,"F9_Weakness, numbness, dizziness"
c0303_f10_vomiting,c0303,f10_vomiting,56771,5.41,TRUE,0.6092,0.9587,F10_Vomiting
c0303_f11_pain_abdomen_pelvis_back,c0303,f11_pain_abdomen_pelvis_back,56771,5.41,TRUE,0.5912,0.6417,"F11_Pain_abdomen, pelvis, back"
c0303_f12_urinary_urgency_dysuria,c0303,f12_urinary_urgency_dysuria,56771,5.41,TRUE,0.1755,0.5425,"F12_Urinary urgency, dysuria"
c0303_f13_diarrhea,c0303,f13_diarrhea,56771,5.41,TRUE,0.1226,0.5408,F13_Diarrhea
c0303_f14_cold_sore_throat_cough,c0303,f14_cold_sore_throat_cough,56771,5.41,TRUE,0.5154,0.6407,"F14_Cold, sore throat, cough"
c0303_fever_by_trimester,c0303,fever_by_trimester,56771,5.41,TRUE,53110.8819,67371.6384,Fever by Trimester
c0303_f15_fever,c0303,f15_fever,56771,5.41,TRUE,0.15,0.6503,F15_Fever
c0303_f16_eye_inflammation,c0303,f16_eye_inflammation,56771,5.41,TRUE,0.0515,0.4628,F16_Eye inflammation
c0303_f17_rash_or_skin_trouble,c0303,f17_rash_or_skin_trouble,56771,5.41,TRUE,0.1685,0.5393,F17_Rash or skin trouble
c0303_f18_jaundice,c0303,f18_jaundice,56771,5.41,TRUE,0.0208,0.4196,F18_Jaundice
c0303_f19_swollen_glands,c0303,f19_swollen_glands,56771,5.41,TRUE,0.0628,0.4773,F19_Swollen glands
c0303_f20_cold_sores,c0303,f20_cold_sores,56771,5.41,TRUE,0.0764,0.4943,F20_Cold sores
c0303_f21_boils_or_abscessed_teeth,c0303,f21_boils_or_abscessed_teeth,56771,5.41,TRUE,0.0883,0.5496,F21_Boils or abscessed teeth
c0303_f22_earache,c0303,f22_earache,56771,5.41,TRUE,0.0745,0.4954,F22_Earache
c0303_f23_swelling_feet_legs,c0303,f23_swelling_feet_legs,56771,5.41,TRUE,0.3178,0.6044,"F23_Swelling feet, legs"
c0303_f24_swelling_hands_feet,c0303,f24_swelling_hands_feet,56771,5.41,TRUE,0.1143,0.5082,"F24_Swelling hands, feet"
c0303_f25_vaginal_bleeding,c0303,f25_vaginal_bleeding,56771,5.41,TRUE,0.3016,1.0845,F25_Vaginal bleeding
c0303_f26_fainting,c0303,f26_fainting,56771,5.41,TRUE,0.0696,0.4849,F26_Fainting
c0303_f27_convulsions,c0303,f27_convulsions,56771,5.41,TRUE,0.0246,0.4454,F27_Convulsions
c0303_f28_accident_poison_injury,c0303,f28_accident_poison_injury,56771,5.41,TRUE,0.1133,0.529,"F28_Accident, poison, injury"
c0303_f29_operation,c0303,f29_operation,56771,5.41,TRUE,0.0596,0.4983,F29_Operation
c0303_f30_radiation_x_ray,c0303,f30_radiation_x_ray,56771,5.41,TRUE,0.3323,0.6192,"F30_Radiation, x-ray"
c0303_f31_air_travel,c0303,f31_air_travel,56771,5.41,TRUE,0.0608,0.5197,F31_Air travel
c0303_f32_injection_vaccination,c0303,f32_injection_vaccination,56771,5.41,TRUE,0.466,0.7095,"F32_Injection, vaccination"
c0303_f33_infectious_disease_in_home,c0303,f33_infectious_disease_in_home,56771,5.41,TRUE,0.2073,0.612,F33_Infectious disease in home
c0303_f34_sick_pet_in_home,c0303,f34_sick_pet_in_home,56771,5.41,TRUE,0.0392,0.4835,F34_Sick pet in home
c0303_f35_works_outside_home,c0303,f35_works_outside_home,56771,5.41,TRUE,0.3358,0.6712,F35_Works outside home
c0303_f36_intercourse_frequency,c0303,f36_intercourse_frequency,56771,5.41,TRUE,9.3484,20.4145,F36_Intercourse frequency
c0303_f37_ever_smoked,c0303,f37_ever_smoked,56771,5.41,TRUE,0.6314,0.6513,F37_Ever smoked
c0303_f38_smoked_at_least_5_packs,c0303,f38_smoked_at_least_5_packs,56771,5.41,TRUE,0.6258,0.8648,F38_Smoked at least 5 packs
c0303_f39_total_years_smoked,c0303,f39_total_years_smoked,56771,5.41,TRUE,6.5879,15.0675,F39_Total years smoked
c0303_f40_age_started_smoking,c0303,f40_age_started_smoking,56771,5.41,TRUE,10.9671,11.2126,F40_Age started smoking
c0303_f41_age_stopped_smoking,c0303,f41_age_stopped_smoking,56771,5.41,TRUE,45.1061,41.9926,F41_Age stopped smoking
c0303_f42_largest_regular_daily_amount,c0303,f42_largest_regular_daily_amount,56771,5.41,TRUE,11.6016,16.5443,F42_Largest regular daily amount
c0303_f44_physician_visited,c0303,f44_physician_visited,56771,5.41,TRUE,0.535,0.7386,F44_Physician visited
c2501_registration_history_1st_card_father,c2501,registration_history_1st_card_father,56019,6.66,TRUE,0.0219,0.1464,"Registration, history, 1st (card), FATHER"
c2501_number_sequence_form_type_form_number,c2501,number_sequence_form_type_form_number,56019,6.66,TRUE,2.6033,15.2672,"Number (sequence), form type, form number, ADMINISTRATIVE"
c2501_exposure_occupational_environmental_envi,c2501,exposure_occupational_environmental_envi,56019,6.66,TRUE,270812.3091,1528085.4925,"Exposure, occupational/environmental, ENVIRONMENTAL EXPOSURE"
c2501_socioeconomic_info_type_mother_work_hist,c2501,socioeconomic_info_type_mother_work_hist,56019,6.66,TRUE,0.0434,0.3111,"Socioeconomic info, type, MOTHER, GENERAL, WORK HISTORY"
c2501_husband_father,c2501,husband_father,56019,6.66,TRUE,1.1869,1.8577,"Husband, FATHER"
c2501_exposure_occupational_environmental_envi_2,c2501,exposure_occupational_environmental_envi_2,56019,6.66,TRUE,0.3646,1.5402,"Exposure, occupational/environmental, GENERAL, ENVIRONMENTAL"
c2501_insurance_2,c2501,insurance_2,56019,6.66,TRUE,4432.504,16526.2774,"Insurance, SOCIOECONOMIC INFO"
c2501_smoking_exposure_environmental,c2501,smoking_exposure_environmental,56019,6.66,TRUE,0.6401,1.4171,"Smoking, exposure, GENERAL, ENVIRONMENTAL"
c2501_insurance_3,c2501,insurance_3,56019,6.66,TRUE,1.0859,2.7861,"Insurance, SOCIOECONOMIC INFO"
c2501_insurance_worked_mother,c2501,insurance_worked_mother,56019,6.66,TRUE,3.7116,3.3112,"Insurance, worked, MOTHER, REGISTRATION"
c2501_term_exposure_last_hunting_date_yr_mothe,c2501,term_exposure_last_hunting_date_yr_mothe,56019,6.66,TRUE,384.7619,344.3128,"Term exposure, last hunting date (yr), MOTHER"
c2501_education_data,c2501,education_data,56019,6.66,TRUE,13784.677,21258.6893,"Education, data, SOCIOECONOMIC INFO"
c2501_term_exposure_environmental,c2501,term_exposure_environmental,56019,6.66,TRUE,1.7653,2.2952,"Term exposure, GENERAL, ENVIRONMENTAL"
